entry_point,image_base,size_of_image,size_code_section,dll_flag,num_sections,entropia_max,entropia_media,num_importaciones,num_dlls_importadas,num_exportaciones,file_size,label
13873,4194304,2142902,1425545,256,3,4.910486773764651,3.8659778670537372,214,18,2,1909038,0
2275,1475183124,19965,49258,19801,1,7.54354406226423,6.995456310156599,7,4,0,39182,1
1857,666550666,170474,20490,36469,10,7.894240783493119,7.753467049528325,13,4,1,57077,1
9205,4194304,490757,308383,288,3,4.491682065720741,5.166479081928104,83,8,3,793779,0
7704,4194304,3081499,1422901,256,3,4.113951634168862,4.706358059823179,82,18,1,3749039,0
13791,16777216,1743984,1779689,256,5,4.484481531931031,3.8107993324641463,114,18,4,2616678,0
5223,4194304,4534215,1786043,256,5,4.827998517015528,4.833209534442393,135,13,0,2139781,0
2368,1122889896,19217,48044,44163,1,7.8882081797858286,7.643824770035514,28,3,1,72128,1
14848,4194304,1005061,1845138,320,5,6.38494545566771,3.8939093393309827,238,5,3,4459552,0
1745,1039222959,111515,29787,64280,2,7.806476480073001,7.339916020334043,23,4,0,48369,1
12584,4194304,325739,1519690,256,3,4.037975261705012,4.305590184888793,248,13,3,264893,0
15042,4194304,3736616,1176490,352,5,5.6555323206467545,5.238415621660989,155,11,3,417487,0
6639,16777216,1873303,419528,352,6,5.889241273560631,4.460284937657451,200,6,1,3200030,0
10525,16777216,2716811,1278147,352,6,4.9622811180026085,5.275422174083971,103,5,0,561780,0
787,3017892355,59147,9614,12415,11,7.998209562235327,7.7396988419588775,28,4,0,54911,1
5835,4194304,3698768,1257264,352,3,5.461533030539594,5.173900724638321,96,13,4,2148872,0
2035,1501907339,50497,1781,18940,1,7.200099925229755,7.274137759941384,28,2,1,24957,1
1988,2395791962,87432,41904,19427,2,7.899292566390263,7.510679142897876,16,4,0,34301,1
7981,4194304,402660,1567695,256,4,4.781527669460603,3.7558840950634824,118,15,3,4895287,0
2188,1401219032,11414,3682,39389,2,7.243203902701192,7.547447497091163,19,3,0,8218,1
13689,4194304,3827619,867990,352,5,4.8078205153636775,4.323171645662941,173,14,0,239030,0
4111,16777216,1024949,1651073,256,6,4.2705760920921705,5.3941252837828575,146,6,1,1753573,0
7119,4194304,241819,1227863,256,4,5.365130615188584,4.962327819086403,137,9,3,4485917,0
7057,16777216,4570111,1083481,256,6,4.272635766206078,4.051438367236221,128,18,3,2031258,0
11355,16777216,395569,1860806,320,3,5.322940548094655,5.499721696415775,115,8,1,2405153,0
5037,16777216,79022,1060117,288,5,4.832206563535117,3.780722002913517,168,8,1,4920005,0
9476,16777216,1638207,490215,256,5,5.066587493886127,4.327320541387439,75,8,4,4533065,0
16078,16777216,2195666,1837493,320,4,5.034968440638434,4.6580879077071,79,6,2,1667831,0
2576,435739180,47556,6135,10052,9,7.439770001170823,7.3200455851041495,11,1,1,43273,1
12526,16777216,154722,1764418,352,3,4.830252969602512,4.249606241634894,142,14,1,3839251,0
4367,4194304,2146866,127817,320,4,4.611341439379515,3.6032153299445255,149,11,3,1458555,0
4064,2821852515,53073,41162,19749,11,7.282973116266797,6.865003249014884,25,3,1,70398,1
9865,16777216,396161,1777177,352,5,4.406874298249641,3.5256924971117884,117,10,1,3013013,0
4799,4194304,141267,1603148,256,6,5.611513349585834,3.934856858724826,64,10,3,1603976,0
5473,16777216,1310019,1735357,256,3,4.106809741451073,4.028643225969971,55,5,3,4507200,0
2849,1997089547,78100,5494,37857,1,7.51090572494315,7.405893862363245,2,2,1,34450,1
291,3432872805,34798,21842,46780,1,7.399218130374319,7.312491614486269,23,3,0,70650,1
16103,4194304,4353504,1224710,288,5,4.862379579550165,4.049168005324885,124,10,3,4888750,0
908,2949744734,71231,38120,62195,2,7.5633989284975724,7.455143794644957,14,1,0,46603,1
12249,4194304,2077197,382453,320,4,4.5598359792307495,4.430494671267658,141,18,2,1766144,0
10076,4194304,3785137,724816,256,5,6.417367846587326,5.1772599667297055,171,6,0,3364270,0
3169,2966086831,20331,34909,21899,9,7.2292685867374615,6.933498419123171,15,4,0,30066,1
3859,3355527115,88050,13325,50497,1,7.6073171847475,7.056025098607086,10,1,0,23581,1
2774,221574906,75219,40235,9605,10,7.337774808817403,7.043711027175332,28,2,1,66893,1
7304,4194304,4803667,65761,320,4,6.252953548121532,4.6973756210093,63,6,2,3082476,0
9489,4194304,4542644,1196925,256,5,5.092130018844436,3.908844275780419,218,14,1,1762755,0
2542,1233139239,34254,25220,34250,2,7.668506307201601,7.036582624359656,24,1,0,36447,1
421,4524250,158450,47161,43877,9,7.274318736073454,7.734096272206333,8,3,1,76435,1
12114,4194304,405659,1719342,352,3,4.156908194826507,4.5418398670344775,130,9,2,95161,0
13311,4194304,4726647,1862115,288,5,5.531855391750818,4.229152495486137,117,12,4,4937614,0
3472,3612647328,160499,34454,52519,9,7.404246779980835,6.846587609068332,28,4,0,44507,1
72,2589385029,106622,40978,37839,9,7.771869963774562,7.792188536364899,19,1,1,21304,1
10768,16777216,380191,1604228,288,5,4.883517441132728,4.6891374102339505,78,15,4,95957,0
9397,16777216,1461355,999081,288,5,6.410810217212157,4.969886197181083,182,16,2,3149159,0
12886,16777216,1541535,1656607,320,5,5.9689064063492605,3.7181799273549734,94,5,4,3299439,0
14918,4194304,4100225,180913,352,3,4.38742248287473,5.145583696696415,132,5,4,2667392,0
11804,4194304,241289,660527,352,3,5.947846288359027,3.5744120764668788,140,9,3,1831610,0
11837,16777216,260631,768802,256,6,5.95853371458494,4.295549442284701,64,7,2,3109407,0
9424,16777216,4980636,239663,320,3,5.385745338198995,4.355827440979899,190,18,1,4073445,0
12423,4194304,905379,1934580,288,5,6.33028362092793,3.9906567324481133,151,12,0,1225582,0
9782,16777216,3428811,532153,288,3,4.291759229197148,5.470591846472498,108,12,2,3812129,0
14307,4194304,234394,590706,320,6,6.076587067457142,4.619018754945921,186,7,3,1112132,0
16219,4194304,1686851,426461,320,6,4.954688530422059,4.532778847056349,103,5,1,3471204,0
9948,4194304,3831790,1823906,352,4,5.867144057840914,4.065501411970617,200,9,0,130166,0
14621,16777216,3274108,1775971,320,5,5.376603652048507,5.423914371570085,70,12,4,1515958,0
3343,3269292969,13556,36101,22916,2,7.376919040931793,7.295419613596267,6,2,1,30250,1
13062,16777216,2825848,998164,288,3,4.3871610285720894,5.319738981124998,70,10,4,2477974,0
15741,4194304,4806981,1385276,320,5,6.113644746788571,5.254815655382277,94,11,1,2886575,0
5947,16777216,435295,1195757,288,5,4.1438900898598865,4.7828358090268726,203,10,3,4352191,0
9922,4194304,1326575,1416324,320,5,4.523991120816941,5.141423368223487,145,16,3,3562598,0
7767,4194304,574439,1693474,256,3,6.37393192663415,4.499763329459182,232,19,3,3981286,0
3767,2510360526,148894,29300,28252,10,7.44393776045825,7.113800559415536,8,1,0,5773,1
2552,4141601322,119366,37724,42952,11,7.378951830883113,7.5430409461629875,19,2,0,51769,1
15189,4194304,3442705,575720,320,6,4.00262993140097,5.353175448356738,89,6,4,3497760,0
15242,4194304,2586617,497082,352,4,4.117812291488931,5.4158396655374705,56,16,3,2564055,0
7657,16777216,4643694,1360270,288,3,5.177872837846807,4.444075245062277,212,5,4,2430493,0
11461,16777216,983224,1170126,320,6,4.552197087123851,5.086396748414313,97,9,3,1039574,0
2966,3326082506,106351,39330,55009,11,7.762670854400847,7.1905569812448356,16,3,1,23060,1
4176,16777216,1831172,83797,256,4,4.795626386546008,4.9719595680293525,214,16,0,3057567,0
4747,16777216,461849,366452,288,5,6.325454821861927,4.756385851856473,100,12,1,4608718,0
12734,4194304,2498271,1537339,256,4,4.309726523220895,3.761341017957312,95,7,2,4150939,0
9865,4194304,3123728,389084,256,4,5.58833560761896,4.904110124857166,216,16,4,1492330,0
3469,903266562,23285,27616,53275,9,7.378777280823174,7.070200072658576,13,1,0,37941,1
4037,3946109417,73378,42614,42999,10,7.26199215002049,7.599857544908195,23,1,0,71876,1
13867,16777216,1245775,1802233,320,6,4.50364140561836,4.551730461925026,158,10,2,859406,0
15412,4194304,644547,300206,352,6,4.116060111944056,4.909277037860309,74,8,3,2790791,0
10431,16777216,4035590,793063,352,4,5.5805738427208,5.045651428994956,182,6,2,1733697,0
12133,4194304,2274484,217457,352,6,5.626283505331884,3.553779280620512,235,5,1,431734,0
2389,2572037921,117921,39053,54108,9,7.716807928301871,6.87814925469571,29,3,1,5807,1
2299,4167740947,35936,2043,27969,10,7.719179989388973,7.113053629190378,13,3,1,51847,1
3582,2605442319,134793,2979,17199,2,7.702570607763336,7.497648270113555,13,3,0,24502,1
1337,325737717,132129,45072,1487,9,7.506013599177397,6.999616521647439,21,4,1,61176,1
14581,16777216,4895326,792782,320,6,4.750620271573254,5.238735021014533,102,15,2,1371587,0
7809,4194304,1414420,415023,288,5,5.447540274475445,4.9188416171984,202,17,4,3557285,0
585,4061416049,38027,6811,39803,11,7.690022528605218,7.69164453263959,14,4,0,76887,1
5573,16777216,1275932,181897,256,4,6.379581121743672,4.209025312356713,84,17,2,293369,0
695,3071260433,81562,18196,34036,1,7.719210642939846,7.263868258517992,25,1,0,61909,1
11451,16777216,1933104,51731,352,4,5.311987875833545,3.6013332585657407,125,7,4,3972011,0
10891,16777216,3359686,284602,256,4,5.473826486341907,5.417582779091409,87,7,3,3583092,0
13951,4194304,1492870,196197,320,4,5.861614910503835,4.593368423139056,53,17,3,157892,0
13416,16777216,71313,739496,352,5,5.704499284245493,4.341495589642987,239,9,4,498772,0
9497,4194304,3136842,790421,256,5,6.249001643458342,4.183408590581552,74,5,2,3166538,0
3114,1806092238,22593,21500,8359,2,7.882221314601711,7.336062107902265,6,4,0,41081,1
7512,4194304,915296,1571570,288,6,5.868764719409882,3.738385368781276,152,15,4,3058068,0
7370,16777216,2074723,1239162,352,5,5.556574185201985,5.116999031781466,222,11,3,514818,0
7280,16777216,3282774,767636,288,3,4.932536917694335,4.372832587380075,63,7,0,3846555,0
10903,4194304,718438,502061,256,3,5.293763110983873,3.8135480162957,90,9,3,165119,0
7830,16777216,128237,1839298,288,5,4.4396243732025145,3.8663612072673526,72,19,3,3722734,0
16192,16777216,2102052,517443,256,6,5.374084526733117,3.7891707302535647,191,8,4,3269760,0
2349,3112238567,119544,11661,13710,1,7.551524465048145,6.893937171719165,25,1,1,42689,1
4734,16777216,1572944,507153,256,6,5.959816339377916,3.506989962218694,222,17,1,576305,0
1606,2514043868,85610,25805,12750,2,7.321408507237936,7.081508909679242,28,3,0,6736,1
15800,4194304,763048,417164,352,5,4.117142556667888,4.370172482207836,193,11,2,4155894,0
14594,16777216,747777,784813,352,4,5.664634265890513,4.7723438661707425,135,18,4,776104,0
12761,4194304,1218186,1048211,256,6,5.687926790952623,4.0223441680331815,159,11,1,1059587,0
10448,4194304,2338626,1519021,352,6,6.229720504604542,3.893598375682819,75,10,4,3274063,0
2905,648695781,14757,7072,63199,9,7.300402959224294,7.591864203344034,20,2,0,65370,1
14565,16777216,4449163,142042,256,6,4.71619295348495,3.8603883474179,228,13,0,4400997,0
741,403309693,190636,10305,21345,10,7.940772678088512,6.899377311435706,5,2,0,32902,1
15932,16777216,1432806,872184,352,3,4.169098886257661,5.474394477764638,89,16,3,1507070,0
12905,4194304,1417226,1006315,288,5,5.417322967573867,3.9953560013803244,129,11,1,1782438,0
3969,2237700149,172911,7870,50682,11,7.895467949049394,7.350134170697407,5,1,0,79311,1
4266,16777216,4729812,423686,352,4,5.536409853238152,5.236883091077438,158,13,0,2707119,0
15596,4194304,3680658,1787329,288,5,4.00801922671296,4.687572453866352,193,10,2,908543,0
1335,1906086232,45047,35022,31164,10,7.7653673312474805,7.334581467467256,3,3,1,63678,1
3598,583670099,184631,27476,8102,11,7.9566868383180385,7.211495774992084,10,1,1,37837,1
6918,16777216,4933812,211374,256,5,4.809948866879541,4.568571764286811,164,13,1,382700,0
14741,16777216,2154258,917932,256,4,4.620429695542235,4.357515806511461,126,11,0,3053706,0
5604,4194304,568853,580775,256,4,4.280715574500596,4.509944434317374,79,9,1,731960,0
16354,4194304,3845576,346872,352,4,4.250263571918026,4.028632504661967,243,14,2,2454177,0
12665,16777216,3123186,977073,320,4,5.803948110747127,4.156481656198651,174,17,0,1135567,0
3024,4004960979,137158,45445,36176,10,7.2831329318950875,7.272189996857662,27,4,0,10140,1
4195,4194304,4482747,1768494,256,6,6.48587141736758,3.6717415959807225,101,15,0,3013668,0
11324,16777216,2792206,589190,352,4,4.767828234155072,5.016511564009722,206,19,1,1075435,0
2265,1428077180,63298,3717,3353,2,7.531528113480653,7.077433992295938,12,1,1,17224,1
13960,4194304,3408329,561718,256,3,4.243031594462349,4.187816390929842,85,7,0,1334522,0
5454,4194304,819215,1854628,288,4,5.063538686942618,3.835872479602836,125,7,3,1484969,0
13038,16777216,4044666,1575330,320,6,5.121828798540648,5.17834175116527,218,8,3,4310096,0
3183,3109549,106237,14431,39230,2,7.857022434641537,6.990356100247462,16,2,1,7269,1
2086,1343882582,42001,21240,21843,9,7.337403997392654,7.357847167051902,9,2,1,36527,1
9201,16777216,3719081,1178902,352,6,6.1390136514923626,4.485415694334476,155,13,1,3348424,0
16013,16777216,1770994,835555,320,5,6.265782975831978,3.883719447466082,197,12,0,1133827,0
13177,4194304,817849,1519052,352,4,5.126349513779148,3.7112095817358006,146,15,2,2092593,0
7717,4194304,865813,546388,256,6,5.116452875440469,3.5516339884229406,239,13,3,3880117,0
8843,4194304,341300,574366,352,3,4.395125727797115,3.757073515921904,230,16,2,3487523,0
14622,16777216,1104720,842963,352,3,6.273253289100676,4.204165589268518,86,13,4,1686892,0
13660,4194304,3555379,1116818,352,5,4.004077119074662,5.198131297274813,188,17,0,1251484,0
13297,4194304,4343113,459449,256,3,4.023097303546281,5.210623335748803,98,13,4,3012001,0
6319,16777216,559374,246858,256,3,5.072879474697906,4.1749600461489464,52,8,0,3044787,0
14533,4194304,3571476,689343,320,3,4.9093349488985405,3.930043376795433,208,7,1,2976793,0
15720,4194304,1664879,1885584,288,5,5.1076299983958675,4.185841212853061,58,5,3,1993655,0
449,3196038818,100797,20965,50523,2,7.938307806279067,7.73662603466509,8,2,1,16313,1
1210,708433488,115352,44247,27030,10,7.351810277483627,7.1966585522021305,22,3,0,73375,1
15442,16777216,709184,641104,256,5,4.063829592846126,3.667210769947954,50,13,3,560666,0
12972,16777216,1755972,1139813,352,4,4.27841243196647,4.913556515018682,114,11,3,2576228,0
5805,16777216,3212055,1060732,320,6,4.257328309488159,3.758618504307541,75,14,3,1664344,0
4316,4194304,3007043,1690051,256,4,5.6698096751463405,3.905783589612033,183,13,3,1710909,0
9405,4194304,4970684,929833,352,6,4.52358209131565,4.7801453391861575,114,11,1,4629858,0
9616,16777216,4696573,329072,352,4,4.55255548486042,4.542760412882459,183,5,3,1238467,0
16368,16777216,3714934,1558496,352,4,5.1834025329936635,3.764285938362677,217,12,2,898958,0
12764,4194304,2599910,709307,320,3,5.6556720095782165,4.939370521755225,141,12,0,3034070,0
15484,4194304,1032989,194643,320,6,5.810479254372941,3.8033712342329826,145,18,1,4680262,0
2752,313618951,140020,17121,10573,10,7.314595107557735,6.934841327648234,3,3,0,47198,1
15984,16777216,680017,1410517,256,4,5.887565943751446,4.473438754821214,101,13,1,630507,0
9914,16777216,967607,522658,256,3,4.6855745559759265,5.315604105524919,118,15,1,4808413,0
7029,16777216,344042,1981082,256,5,4.611407108214683,3.7721446236668825,109,14,2,4182319,0
11667,4194304,1191861,918923,256,4,4.425311014039125,4.4169700212506555,232,10,3,4604268,0
2493,1130369372,153692,3144,58229,2,7.626515184484881,7.645601638958338,3,4,1,33039,1
8600,16777216,2547498,582739,352,6,4.978621658967101,4.34403852447978,89,6,0,2653646,0
16007,4194304,4877393,531583,320,6,5.57558873743247,5.385529185375628,244,13,0,2567286,0
16006,4194304,3097057,1953115,288,4,5.019811485953355,4.88180636177505,136,18,4,2325293,0
16206,4194304,4566611,245785,288,3,6.421626183443065,5.073511744312475,58,17,0,3890319,0
10701,4194304,3558831,1056637,288,3,5.067329649415841,4.893740099049597,219,5,3,50065,0
8305,4194304,1166957,1777742,352,4,5.939314535055695,5.47953846676489,249,18,1,1307718,0
5345,4194304,434836,879608,320,5,5.0417525589200185,4.998663976141481,220,9,4,1730105,0
11638,4194304,4871061,225927,288,4,5.778514618698932,3.9654629582018748,246,18,3,4505922,0
1958,3990633335,56077,10209,65149,10,7.875027789020315,7.7530537165452245,2,1,0,31803,1
15,86678045,106771,16453,3258,11,7.2145567485678175,7.123049542343215,20,3,1,66527,1
5706,16777216,1717439,1186811,256,3,4.909492455411592,4.5138143669444135,141,16,3,998759,0
14328,4194304,1859207,429715,320,4,5.629246897277781,5.17032299156766,109,8,4,3457700,0
918,192657594,42419,46206,17255,1,7.772209224857417,7.530223679475719,27,3,0,77535,1
12942,4194304,1717916,1516155,352,4,5.265935173716406,3.8110252020245445,165,16,2,2766896,0
2910,3322629764,167728,40582,36094,10,7.71384438375475,7.245887557011929,12,3,0,27786,1
5663,4194304,3512669,588193,320,5,5.5311137883496295,3.791871373563401,183,12,2,346691,0
259,3330520836,112381,31027,27705,11,7.465999085787566,7.033167933259246,11,1,0,12688,1
13687,4194304,2692832,1283987,320,5,5.138690946104344,4.50308182419979,75,7,4,308570,0
774,3352993006,86308,26671,13424,10,7.816631391299515,7.579665841920772,20,3,0,26015,1
15223,16777216,2711473,314895,320,3,5.639788654934701,4.95410129633721,143,10,4,523776,0
7544,16777216,2233333,1890162,352,4,4.857844062108664,3.5019106668469613,152,6,4,564501,0
4289,16777216,741485,1604216,320,3,4.969194620520564,4.143557227437762,236,7,2,540538,0
4836,4194304,2096370,1180411,320,3,4.6281588767661646,4.650806266673477,164,19,3,2135044,0
14273,4194304,4697049,1895281,288,4,4.6867138317020745,4.261969167803816,90,16,1,4402435,0
7420,4194304,2227054,1864330,288,4,5.273474709039981,4.7217795547875,142,15,2,1917485,0
1968,2515044378,154479,10984,1028,10,7.296999805166041,7.231389088353541,5,1,0,43781,1
10735,16777216,2663199,802775,320,3,4.376860415690234,3.9933637148633236,68,10,3,1459513,0
9153,4194304,3590478,53271,352,6,6.045282296313932,4.240654949872358,185,11,0,2863712,0
6745,4194304,1329858,1751836,288,3,6.101945247351081,4.138827451807115,90,7,1,2680931,0
11084,4194304,2514762,1797258,256,6,5.11649172529377,5.226303060321695,226,17,4,3952618,0
4452,4194304,792695,1791376,256,6,4.616890348193024,4.014939786457049,158,12,2,2344403,0
1145,3805913555,131257,17727,35905,2,7.874131595489629,7.4767370675826506,20,3,0,26506,1
8899,4194304,2618778,425300,320,6,4.6272823223814115,4.071584954221194,173,7,2,2464045,0
10537,16777216,534522,124626,288,4,5.791350485004857,4.736018220764857,92,17,0,4999550,0
5672,4194304,4014755,1138825,320,6,5.000062489461032,3.6076927208896157,205,7,2,3473337,0
5819,4194304,1310905,1613487,288,5,5.090616302365544,4.198792850164799,91,19,0,66867,0
9990,16777216,4938854,1221448,288,6,6.2760308495790635,3.624603540567424,231,6,3,4620485,0
5437,16777216,3907386,810254,320,5,4.776850669441142,5.236998985051753,167,18,2,3148833,0
12385,16777216,2437761,235035,352,5,6.048498767835821,5.4853035889990736,96,14,3,1291780,0
6108,4194304,160230,776974,288,3,6.126726579870391,3.731157612707337,163,17,0,960820,0
15755,4194304,4007655,295147,288,6,5.264334217960888,4.712788561018043,219,19,2,3130331,0
4847,16777216,2204139,1234247,352,5,4.7670845996821,4.046679314384026,167,8,2,2446169,0
1670,4029899590,27631,48058,51211,9,7.737392404795484,7.042317718925572,2,3,0,63921,1
4550,16777216,272320,1101311,288,5,4.878898467428334,5.325826167764349,63,16,1,1575707,0
11032,4194304,1070147,338259,352,4,5.976503722639,3.5661184010902294,126,19,0,648131,0
2644,2112609898,163155,45009,30317,10,7.704148401700477,6.952968892053209,17,3,1,61166,1
5228,16777216,2837977,171139,288,5,4.2251375944554,5.253314489669922,122,15,3,3482538,0
3069,1298339618,187190,16668,3601,9,7.255663814459055,7.122776946981721,14,3,1,34096,1
7953,4194304,1434199,1683828,352,3,4.744687106607764,3.705388780301285,165,14,4,2954741,0
1011,3998517164,29752,35078,3480,9,7.548842575252953,6.995488039760492,20,2,0,24126,1
4647,4194304,4695631,1386775,320,3,4.21686442072001,4.047213036930968,91,13,2,1105921,0
9089,16777216,1606022,285775,352,4,6.0272468808349,4.704963995907009,131,7,4,172287,0
12694,4194304,743274,1101063,288,4,4.216118533172016,4.29153361981154,136,12,2,2389568,0
15873,4194304,4060997,526887,352,5,4.75688714561413,5.213461440203947,223,5,0,4165028,0
10913,4194304,753414,1336998,256,5,5.7888599927937054,5.067061383200461,129,17,0,2658849,0
1627,1426720703,182954,4755,453,2,7.370390108554941,7.169499680050337,20,1,1,40280,1
9165,4194304,2681483,1002214,256,5,4.882969574302402,4.248181426517472,138,18,1,219087,0
1128,2691022754,14186,46742,45387,11,7.731093323258284,7.073710442422867,2,1,1,64415,1
1898,951964461,120024,26443,59527,2,7.3977875408301745,6.8560536406365085,7,4,1,32730,1
2194,1579736891,110608,35542,14740,9,7.822892436500508,7.531831385674042,10,4,0,24381,1
14340,4194304,2819844,484227,256,6,6.3401188008370575,3.7232320933443113,117,16,4,1971007,0
14245,16777216,1077024,1922000,288,4,4.384338198722105,4.277071060912564,203,12,3,939283,0
10111,16777216,3153414,1710204,352,3,5.4299020945203464,5.297890920665299,149,6,2,3319467,0
9589,4194304,4930707,1890559,288,3,5.357666737275621,3.931958298158926,198,18,1,2527990,0
13,3542044179,95273,10451,11034,11,7.979391184844912,7.542359340581605,12,3,0,9459,1
5467,16777216,3755146,1493522,320,5,5.55215926896104,5.062609034559703,51,19,3,3194022,0
13151,16777216,2346102,1454824,256,5,5.194380638382384,4.658826725859611,181,11,1,4802498,0
7592,4194304,1947266,1980435,352,5,5.231249621695232,3.7381225747645983,175,8,3,3113041,0
9027,4194304,3360415,860780,320,5,5.271902205547949,4.562642965624459,153,15,2,2944404,0
12489,16777216,1403477,384327,288,4,4.685596430563346,3.8090294163122946,93,11,2,1884396,0
7592,4194304,2717334,450624,320,6,4.5218172085924015,4.499150756716878,94,7,1,1050395,0
3208,3517727625,158463,17129,52244,2,7.8915681542696285,7.313222794840788,11,2,1,26018,1
5692,16777216,3921945,407591,320,5,6.053435340819187,4.751686574753973,90,16,1,3396622,0
9124,4194304,843613,620977,352,4,5.021291675339636,4.80476026788773,208,13,1,3568310,0
13467,16777216,3835545,1417089,320,5,5.372453184837812,4.81350922554571,114,5,1,2655369,0
2182,3729179560,53748,32466,42777,2,7.509833337668773,7.756880369172745,4,3,0,50088,1
11003,4194304,4740090,1985095,320,6,4.599526360759449,3.679037852676606,208,16,0,1313229,0
589,2714373041,98450,9980,60966,10,7.445355358344122,7.5943290397431475,3,3,0,32204,1
15187,4194304,1510345,354125,352,4,6.487057933535558,5.499036220361899,59,18,0,4825231,0
13069,4194304,3178558,1083409,352,5,5.380961973280134,4.700652784035434,134,15,1,582997,0
16023,16777216,4419986,1739417,288,4,5.814270989344358,4.032323636728023,74,14,1,978348,0
3603,1288558509,25018,44247,15131,11,7.7675314035536775,6.825149501090233,3,2,1,37978,1
737,3447990350,146667,40957,29903,11,7.269910145197376,7.0711160999900375,15,1,1,29243,1
